id,number,gender,nation,academy,profession,class,skill_type,skill_level,award_name,award_date,note
9778,1603010213,男,汉族,金融学院,金融学,金融1602,外语水平类,中级,全国大学英语六级考试,2019-02-26,暂无数据
9779,201721060446,女,汉族,工商管理学院,电子商务（管理）,商务1701,职业证书类,初级,银行业专业人员职业资格证书,2019-06-02,暂无数据
9780,1609030101,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,外语水平类,高级,雅思英语水平考试(IELTS),2019-08-10,暂无数据
9781,201721130052,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,外语水平类,初级,英语专业四级考试(TEM-4),2019-02-26,暂无数据
9782,201721070079,男,汉族,财政税务学院,财政学,财政1701,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-05,暂无数据
9783,1603090122,女,汉族,金融学院,金融工程,金工1601,外语水平类,高级,托福英语水平考试(TOEFL),2019-05-26,暂无数据
9784,201721040637,女,汉族,法学院,法学（卓越）,卓越1701,外语水平类,初级,全国大学英语四级考试,2019-05-06,暂无数据
9785,201721110303,女,土家族,外国语学院,商务英语,商英1703,外语水平类,初级,全国翻译专业资格（水平）考试英语笔译/口译(CATTI),2019-08-15,暂无数据
9786,1613010102,女,汉族,信息与安全工程学院,安全工程,安全1601,计算机水平类,中级,全国计算机等级考试(1-4),2019-05-09,暂无数据
9787,1607010137,女,回族,财政税务学院,财政学,财政1601,外语水平类,中级,全国大学英语六级考试,2018-12-08,暂无数据
9788,201829030488,男,满族,金融学院,金融学类,金融1803,外语水平类,中级,雅思英语水平考试(IELTS),2019-08-24,暂无数据
9789,201721020013,女,蒙古族,经济学院,经济学,经济1701,外语水平类,初级,全国大学英语四级考试,2019-02-14,暂无数据
9790,201721110022,女,汉族,外国语学院,英语,英语1702,外语水平类,中级,英语专业四级考试(TEM-4),2019-04-20,暂无数据
9791,201721140010,女,汉族,哲学院,国际政治,国政1701,外语水平类,中级,全国大学英语六级考试,2019-08-22,暂无数据
9792,201721040166,女,汉族,法学院,法学,法1708,外语水平类,中级,雅思英语水平考试(IELTS),2019-07-16,暂无数据
9793,1605010116,男,汉族,刑事司法学院,侦查学,侦查1601,外语水平类,中级,全国大学英语六级考试,2019-08-15,暂无数据
9794,201721050167,男,汉族,刑事司法学院,侦查学,侦查1701,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
9795,201504070106,女,土家族,法学院,法学,外法1601,职业证书类,中级,普通话水平测试等级,2018-12-25,暂无数据
